canonical_smiles,molecule_chembl_id,IC50_nM,pIC50,MWT,LogP,HBD,HBA,RO5_Compliant
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccccc34)n1)CSCC2,CHEMBL4522613,1621.0,5.790216985151485,613.832,6.325300000000007,2,9,False
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccc(F)cc23)n1,CHEMBL4535047,360.0,6.443697499232712,584.7000000000003,5.546780000000005,2,9,False
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccccc23)n1,CHEMBL4452628,219.0,6.6595558851598815,566.7100000000003,5.4076800000000045,2,9,False
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL4438905,397.0,6.401209493236885,541.7000000000002,5.536000000000005,2,8,False
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccc(F)cc34)n1)CS(=O)(=O)CC2,CHEMBL4475770,201.0,6.696803942579511,649.793,4.900000000000004,2,10,True
COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL4527702,209.0,6.679853713888946,527.6730000000001,5.2900000000000045,2,8,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2cccnc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5203821,360.0,6.443697499232712,550.6670000000001,5.032600000000004,2,9,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccnc(Cl)c2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5209075,420.0,6.376750709602099,585.1120000000001,5.686000000000005,2,9,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccnc(Cl)c2)cc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,CHEMBL5173534,137.0,6.863279432843593,629.1650000000001,5.531400000000006,3,10,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5174232,391.0,6.407823242604133,550.6670000000001,5.032600000000004,2,9,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2OC)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5191292,100.0,7.0,580.6930000000002,5.0412000000000035,2,10,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncn2)cc1Nc1nc(-c2cn(C)c3ccccc23)c2cccnc2n1,CHEMBL5189183,360.0,6.443697499232712,602.7030000000001,4.975800000000003,2,11,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncn2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5201846,29.0,7.5376020021010435,551.6550000000001,4.427600000000003,2,10,True
COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncn2)cc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,CHEMBL5206298,161.0,6.79317412396815,595.7080000000002,4.273000000000002,3,11,False
COc1cc(N(C)CCN(C)C)c(NC(=O)c2cnccn2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,CHEMBL5188618,120.5,6.919012953089113,551.6550000000001,4.427600000000003,2,10,True
